CHROM,START,END,N_SNPs,TajD,Gene,Type,Population,Continent,Subsistence
1,6616000,6616000,0,nan,TAS1R1,SENS,BaKiga,Africa,Farmer
1,6617000,6617000,0,nan,TAS1R1,SENS,BaKiga,Africa,Farmer
1,6618000,6618000,0,nan,TAS1R1,SENS,BaKiga,Africa,Farmer
1,6619000,6619000,0,nan,TAS1R1,SENS,BaKiga,Africa,Farmer
1,6620000,6620000,0,nan,TAS1R1,SENS,BaKiga,Africa,Farmer
1,6621000,6621000,0,nan,TAS1R1,SENS,BaKiga,Africa,Farmer
1,6622000,6622000,0,nan,TAS1R1,SENS,BaKiga,Africa,Farmer
1,6623000,6623000,0,nan,TAS1R1,SENS,BaKiga,Africa,Farmer
1,6624000,6624000,0,nan,TAS1R1,SENS,BaKiga,Africa,Farmer
1,6625000,6625000,0,nan,TAS1R1,SENS,BaKiga,Africa,Farmer
1,6626000,6626000,0,nan,TAS1R1,SENS,BaKiga,Africa,Farmer
1,6627000,6627000,0,nan,TAS1R1,SENS,BaKiga,Africa,Farmer
1,6628000,6628000,0,nan,TAS1R1,SENS,BaKiga,Africa,Farmer
1,6629000,6629000,0,nan,TAS1R1,SENS,BaKiga,Africa,Farmer
1,6630000,6630000,1,-0.651472,TAS1R1,SENS,BaKiga,Africa,Farmer
1,6631000,6631000,0,nan,TAS1R1,SENS,BaKiga,Africa,Farmer
1,6632000,6632000,0,nan,TAS1R1,SENS,BaKiga,Africa,Farmer
1,6633000,6633000,0,nan,TAS1R1,SENS,BaKiga,Africa,Farmer
1,6634000,6634000,0,nan,TAS1R1,SENS,BaKiga,Africa,Farmer
1,6635000,6635000,0,nan,TAS1R1,SENS,BaKiga,Africa,Farmer
1,6636000,6636000,0,nan,TAS1R1,SENS,BaKiga,Africa,Farmer
1,6637000,6637000,0,nan,TAS1R1,SENS,BaKiga,Africa,Farmer
1,6638000,6638000,0,nan,TAS1R1,SENS,BaKiga,Africa,Farmer
1,6639000,6639000,3,-1.14565,TAS1R1,SENS,BaKiga,Africa,Farmer
1,19167000,19167000,0,nan,TAS1R2,SENS,BaKiga,Africa,Farmer
1,19168000,19168000,0,nan,TAS1R2,SENS,BaKiga,Africa,Farmer
1,19169000,19169000,0,nan,TAS1R2,SENS,BaKiga,Africa,Farmer
1,19170000,19170000,0,nan,TAS1R2,SENS,BaKiga,Africa,Farmer
1,19171000,19171000,0,nan,TAS1R2,SENS,BaKiga,Africa,Farmer
1,19172000,19172000,0,nan,TAS1R2,SENS,BaKiga,Africa,Farmer
1,19173000,19173000,0,nan,TAS1R2,SENS,BaKiga,Africa,Farmer
1,19174000,19174000,0,nan,TAS1R2,SENS,BaKiga,Africa,Farmer
1,19175000,19175000,0,nan,TAS1R2,SENS,BaKiga,Africa,Farmer
1,19176000,19176000,0,nan,TAS1R2,SENS,BaKiga,Africa,Farmer
1,19177000,19177000,0,nan,TAS1R2,SENS,BaKiga,Africa,Farmer
1,19178000,19178000,0,nan,TAS1R2,SENS,BaKiga,Africa,Farmer
1,19179000,19179000,0,nan,TAS1R2,SENS,BaKiga,Africa,Farmer
1,19180000,19180000,0,nan,TAS1R2,SENS,BaKiga,Africa,Farmer
1,19181000,19181000,0,nan,TAS1R2,SENS,BaKiga,Africa,Farmer
1,19182000,19182000,0,nan,TAS1R2,SENS,BaKiga,Africa,Farmer
1,19183000,19183000,0,nan,TAS1R2,SENS,BaKiga,Africa,Farmer
1,19184000,19184000,1,1.11076,TAS1R2,SENS,BaKiga,Africa,Farmer
1,19185000,19185000,0,nan,TAS1R2,SENS,BaKiga,Africa,Farmer
1,19186000,19186000,0,nan,TAS1R2,SENS,BaKiga,Africa,Farmer
1,111397000,111397000,0,nan,OR11I1P,SENS,BaKiga,Africa,Farmer
1,146891000,146891000,0,nan,OR13Z1P,SENS,BaKiga,Africa,Farmer
1,158369000,158369000,5,-1.35567,OR10T2,SENS,BaKiga,Africa,Farmer
1,158390000,158390000,8,-2.06399,OR10K2,SENS,BaKiga,Africa,Farmer
1,158415000,158415000,0,nan,OR10T1P,SENS,BaKiga,Africa,Farmer
1,158436000,158436000,1,-0.459764,OR10K1,SENS,BaKiga,Africa,Farmer
1,158450000,158450000,6,-0.164743,OR10R2,SENS,BaKiga,Africa,Farmer
1,158485000,158485000,0,nan,OR10R1P,SENS,BaKiga,Africa,Farmer
1,158517000,158517000,7,-1.38612,OR6Y1,SENS,BaKiga,Africa,Farmer
1,158533000,158533000,7,-0.442394,OR6P1,SENS,BaKiga,Africa,Farmer
1,158549000,158549000,8,0.813121,OR10X1,SENS,BaKiga,Africa,Farmer
1,158577000,158577000,2,-0.729531,OR10Z1,SENS,BaKiga,Africa,Farmer
1,158665000,158665000,0,nan,OR6K1P,SENS,BaKiga,Africa,Farmer
1,158670000,158670000,2,-0.0830366,OR6K2,SENS,BaKiga,Africa,Farmer
1,158687000,158687000,9,-0.196804,OR6K3,SENS,BaKiga,Africa,Farmer
1,158694000,158694000,0,nan,OR6K4P,SENS,BaKiga,Africa,Farmer
1,158713000,158713000,0,nan,OR6K5P,SENS,BaKiga,Africa,Farmer
1,158725000,158725000,14,-0.52278,OR6K6,SENS,BaKiga,Africa,Farmer
1,158736000,158736000,3,0.18673,OR6N1,SENS,BaKiga,Africa,Farmer
1,158747000,158747000,2,-1.30396,OR6N2,SENS,BaKiga,Africa,Farmer
1,159249000,159249000,0,nan,OR10J2P,SENS,BaKiga,Africa,Farmer
1,159284000,159284000,0,nan,OR10J3,SENS,BaKiga,Africa,Farmer
1,159321000,159321000,0,nan,OR10J7P,SENS,BaKiga,Africa,Farmer
1,159336000,159336000,0,nan,OR10J8P,SENS,BaKiga,Africa,Farmer
1,159376000,159376000,0,nan,OR10J9P,SENS,BaKiga,Africa,Farmer
1,159402000,159402000,5,-0.729428,OR10J4P,SENS,BaKiga,Africa,Farmer
1,159410000,159410000,0,nan,OR10J1,SENS,BaKiga,Africa,Farmer
1,159505000,159505000,2,0.783303,OR10J5,SENS,BaKiga,Africa,Farmer
1,159552000,159552000,0,nan,OR10AE1P,SENS,BaKiga,Africa,Farmer
1,159569000,159569000,0,nan,OR10J6P,SENS,BaKiga,Africa,Farmer
1,247695000,247695000,3,1.21528,OR2C3,SENS,BaKiga,Africa,Farmer
1,247752000,247752000,6,-0.497513,OR2G2,SENS,BaKiga,Africa,Farmer
1,247769000,247769000,9,-0.825243,OR2G3,SENS,BaKiga,Africa,Farmer
1,247783000,247783000,0,nan,OR14L1P,SENS,BaKiga,Africa,Farmer
1,247831000,247831000,0,nan,OR3D1P,SENS,BaKiga,Africa,Farmer
1,247836000,247836000,3,0.999721,OR13G1,SENS,BaKiga,Africa,Farmer
1,247876000,247876000,1,-0.625579,OR6F1,SENS,BaKiga,Africa,Farmer
1,247887000,247887000,1,0.0977185,OR14A2,SENS,BaKiga,Africa,Farmer
1,247902000,247902000,4,-1.39509,OR14K1,SENS,BaKiga,Africa,Farmer
1,247921000,247921000,7,-0.566069,OR1C1,SENS,BaKiga,Africa,Farmer
1,247939000,247939000,1,-1.08977,OR9H1P,SENS,BaKiga,Africa,Farmer
1,247979000,247979000,0,nan,OR14A16,SENS,BaKiga,Africa,Farmer
1,247997000,247997000,0,nan,OR6R1P,SENS,BaKiga,Africa,Farmer
1,248005000,248005000,2,-0.550768,OR11L1,SENS,BaKiga,Africa,Farmer
1,248085000,248085000,7,0.493303,OR2T8,SENS,BaKiga,Africa,Farmer
1,248098000,248098000,0,nan,OR2AJ1,SENS,BaKiga,Africa,Farmer
1,248113000,248113000,3,1.37657,OR2L8,SENS,BaKiga,Africa,Farmer
1,248129000,248129000,6,-1.31076,OR2AK2,SENS,BaKiga,Africa,Farmer
1,248154000,248154000,0,nan,OR2L1P,SENS,BaKiga,Africa,Farmer
1,248167000,248167000,0,nan,OR2L6P,SENS,BaKiga,Africa,Farmer
1,248186000,248186000,0,nan,OR2L5,SENS,BaKiga,Africa,Farmer
1,248202000,248202000,5,-0.0937635,OR2L2,SENS,BaKiga,Africa,Farmer
1,248224000,248224000,14,1.41343,OR2L3,SENS,BaKiga,Africa,Farmer
1,248247000,248247000,23,-0.469711,OR2T32P,SENS,BaKiga,Africa,Farmer
1,248263000,248263000,2,-0.189194,OR2L13,SENS,BaKiga,Africa,Farmer
1,248286000,248286000,0,nan,OR2M1P,SENS,BaKiga,Africa,Farmer
1,248309000,248309000,10,-1.97256,OR2M5,SENS,BaKiga,Africa,Farmer
1,248344000,248344000,3,-1.57338,OR2M2,SENS,BaKiga,Africa,Farmer
1,248367000,248367000,0,nan,OR2M3,SENS,BaKiga,Africa,Farmer
1,248403000,248403000,0,nan,OR2M4,SENS,BaKiga,Africa,Farmer
1,248437000,248437000,4,-0.589077,OR2T33,SENS,BaKiga,Africa,Farmer
1,248458000,248458000,7,-1.5998,OR2T12,SENS,BaKiga,Africa,Farmer
1,248487000,248487000,11,0.0455922,OR2M7,SENS,BaKiga,Africa,Farmer
1,248513000,248513000,0,nan,OR14C36,SENS,BaKiga,Africa,Farmer
1,248525000,248525000,16,0.796754,OR2T4,SENS,BaKiga,Africa,Farmer
1,248551000,248551000,7,-0.30162,OR2T6,SENS,BaKiga,Africa,Farmer
1,248570000,248570000,3,-1.55972,OR2T1,SENS,BaKiga,Africa,Farmer
1,248605000,248605000,12,-0.483996,OR2T7,SENS,BaKiga,Africa,Farmer
1,248617000,248617000,0,nan,OR2T2,SENS,BaKiga,Africa,Farmer
1,248637000,248637000,10,1.15215,OR2T3,SENS,BaKiga,Africa,Farmer
1,248652000,248652000,4,0.680652,OR2T5,SENS,BaKiga,Africa,Farmer
1,248685000,248685000,6,-1.3364,OR2G6,SENS,BaKiga,Africa,Farmer
1,248713000,248713000,0,nan,OR2AS1P,SENS,BaKiga,Africa,Farmer
1,248722000,248722000,0,nan,OR2T29,SENS,BaKiga,Africa,Farmer
